name,level,division,conference,state,city,athletics_url
Abilene Christian University,college,NCAA_D1_FCS,Western Athletic Conference,TX,Abilene,
Abraham Baldwin Agricultural College,college,NAIA,Southern States Athletic Conference,GA,Tifton,
Adams State University,college,NCAA_D2,Rocky Mountain Athletic Conference,CO,Alamosa,
Adelphi University,college,NCAA_D2,Northeast-10 Conference,NY,Garden City,
Adrian College,college,NCAA_D3,Michigan Intercollegiate Athletic Association,MI,Adrian,
Agnes Scott College,college,NCAA_D3,Collegiate Conference of the South,GA,Decatur,
Alabama A&M University,college,NCAA_D1_FCS,SWAC,AL,Normal,
Alabama Agricultural and Mechanical University,college,NCAA_D1_FCS,Southwestern Athletic Conference,AL,Normal,
Alabama State University,college,NCAA_D1_FCS,Southwestern Athletic Conference,AL,Montgomery,
Albany State University,college,NCAA_D2,Southern Intercollegiate Athletic Conference,GA,Albany,
Albertus Magnus College,college,NCAA_D3,Great Northeast Athletic Conference,CT,New Haven,
Albion College,college,NCAA_D3,Michigan Intercollegiate Athletic Association,MI,Albion,
Albright College,college,NCAA_D3,MAC Commonwealth,PA,Reading,
Alcorn State University,college,NCAA_D1_FCS,Southwestern Athletic Conference,MS,Lorman,
Alfred State College,college,NCAA_D3,Allegheny Mountain Collegiate Conference(State University of New York Athletic Conferencein 2026),NY,Alfred,
Alfred University,college,NCAA_D3,Empire 8,NY,Alfred,
Alice Lloyd College,college,NAIA,Continental Athletic Conference,KY,Pippa Passes,
Allegheny College,college,NCAA_D3,Presidents' Athletic Conference,PA,Meadville,
Allen University,college,NCAA_D2,Southern Intercollegiate Athletic Conference,SC,Columbia,
Alma College,college,NCAA_D3,Michigan Intercollegiate Athletic Association,MI,Alma,
Alvernia University,college,NCAA_D3,MAC Commonwealth,PA,Reading,
Alverno College,college,NCAA_D3,Northern Athletics Collegiate Conference(Coast to Coast Athletic Conferencein 2026),WI,Milwaukee,
American International College,college,NCAA_D2,Northeast-10 Conference,MA,Springfield,
American University,college,NCAA_D1,Patriot League,DC,Washington,
Amherst College,college,NCAA_D3,New England Small College Athletic Conference,MA,Amherst,
Anderson University,college,NCAA_D2,South Atlantic Conference,SC,Anderson,
Andrew College,college,NAIA,Georgia Collegiate Athletic Association(NJCAA),GA,Cuthbert,
Angelo State University,college,NCAA_D2,Lone Star Conference,TX,San Angelo,
Anna Maria College,college,NCAA_D3,Massachusetts State Collegiate Athletic Conference,MA,Paxton,
Appalachian State University,college,NCAA_D1_FBS,Sun Belt Conference,NC,Boone,
Aquinas College,college,NAIA,Wolverine–Hoosier Athletic Conference,MI,Grand Rapids,
Arcadia University,college,NCAA_D3,MAC Freedom,PA,Glenside,
